"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","http-nio-8888-exec-17","06/14/2021","16:43:21","","datasource [shop] doesn't exist;datasource [shop] doesn't exist
available datasource names are [];lucee.runtime.exp.DatabaseException: datasource [shop] doesn't exist
	at lucee.runtime.exp.DatabaseException.notFoundException(DatabaseException.java:189)
	at lucee.runtime.PageContextImpl.getDataSource(PageContextImpl.java:3470)
	at lucee.runtime.tag.Query.toDatasource(Query.java:238)
	at lucee.runtime.tag.Query.setDatasource(Query.java:230)
	at index_cfm$cf$1.call(/index.cfm:10)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-11","06/14/2021","16:44:16","","datasource [shop] doesn't exist;datasource [shop] doesn't exist
available datasource names are [];lucee.runtime.exp.DatabaseException: datasource [shop] doesn't exist
	at lucee.runtime.exp.DatabaseException.notFoundException(DatabaseException.java:189)
	at lucee.runtime.PageContextImpl.getDataSource(PageContextImpl.java:3470)
	at lucee.runtime.tag.Query.toDatasource(Query.java:238)
	at lucee.runtime.tag.Query.setDatasource(Query.java:230)
	at index_cfm$cf$2.call(/index.cfm:10)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-15","06/14/2021","16:44:17","","datasource [shop] doesn't exist;datasource [shop] doesn't exist
available datasource names are [];lucee.runtime.exp.DatabaseException: datasource [shop] doesn't exist
	at lucee.runtime.exp.DatabaseException.notFoundException(DatabaseException.java:189)
	at lucee.runtime.PageContextImpl.getDataSource(PageContextImpl.java:3470)
	at lucee.runtime.tag.Query.toDatasource(Query.java:238)
	at lucee.runtime.tag.Query.setDatasource(Query.java:230)
	at index_cfm$cf$2.call(/index.cfm:10)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-5","06/14/2021","17:05:29","","missing terminating [#] for expression;missing terminating [#] for expression;lucee.runtime.exp.TemplateException: missing terminating [#] for expression
	at lucee.transformer.cfml.tag.CFMLTransformer.literal(CFMLTransformer.java:505)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:394)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:783)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:390)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:328)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:320)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:176)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:125)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:440)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:407)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:329)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1004)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:940)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-8","06/14/2021","17:06:00","","variable [PRODUCTNAME] doesn't exist;variable [PRODUCTNAME] doesn't exist;lucee.runtime.exp.ExpressionException: variable [PRODUCTNAME] doesn't exist
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:237)
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:179)
	at index_cfm$cf$4.call(/index.cfm:26)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-7","06/15/2021","09:37:55","","attribute [name] is required for tag [cfparam];attribute [name] is required for tag [cfparam];lucee.runtime.exp.TemplateException: attribute [name] is required for tag [cfparam]
	at lucee.transformer.cfml.tag.CFMLTransformer.createTemplateException(CFMLTransformer.java:1292)
	at lucee.transformer.cfml.tag.CFMLTransformer.attributes(CFMLTransformer.java:1018)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:689)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:390)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:328)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:320)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:176)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:125)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:440)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:407)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:329)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1004)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:940)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-9","06/15/2021","09:39:21","","variable [HELO] doesn't exist;variable [HELO] doesn't exist;lucee.runtime.exp.ExpressionException: variable [HELO] doesn't exist
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:237)
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:179)
	at index_cfm$cf$d.call(/index.cfm:48)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:64)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:43)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-4","06/15/2021","12:15:30","","datasource [student] doesn't exist;datasource [student] doesn't exist
available datasource names are [shop];lucee.runtime.exp.DatabaseException: datasource [student] doesn't exist
	at lucee.runtime.exp.DatabaseException.notFoundException(DatabaseException.java:189)
	at lucee.runtime.PageContextImpl.getDataSource(PageContextImpl.java:3470)
	at lucee.runtime.tag.Query.doStartTag(Query.java:471)
	at formsubmitted_cfm$cf$n.call(/formsubmitted.cfm:5)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:216)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:42)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-5","06/15/2021","12:21:06","","attribute [name] is required for tag [cfparam];attribute [name] is required for tag [cfparam];lucee.runtime.exp.TemplateException: attribute [name] is required for tag [cfparam]
	at lucee.transformer.cfml.tag.CFMLTransformer.createTemplateException(CFMLTransformer.java:1292)
	at lucee.transformer.cfml.tag.CFMLTransformer.attributes(CFMLTransformer.java:1018)
	at lucee.transformer.cfml.tag.CFMLTransformer.tag(CFMLTransformer.java:689)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:390)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.body(CFMLTransformer.java:398)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:328)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:320)
	at lucee.transformer.cfml.tag.CFMLTransformer.transform(CFMLTransformer.java:176)
	at lucee.runtime.compiler.CFMLCompilerImpl._compile(CFMLCompilerImpl.java:125)
	at lucee.runtime.compiler.CFMLCompilerImpl.compile(CFMLCompilerImpl.java:76)
	at lucee.runtime.PageSourceImpl._compile(PageSourceImpl.java:440)
	at lucee.runtime.PageSourceImpl.compile(PageSourceImpl.java:407)
	at lucee.runtime.PageSourceImpl.loadPhysical(PageSourceImpl.java:329)
	at lucee.runtime.PageSourceImpl.loadPageThrowTemplateException(PageSourceImpl.java:237)
	at lucee.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:1004)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:940)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:216)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:42)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
"ERROR","http-nio-8888-exec-9","06/15/2021","12:21:39","","variable [LUCEE] doesn't exist;variable [LUCEE] doesn't exist;lucee.runtime.exp.ExpressionException: variable [LUCEE] doesn't exist
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:237)
	at lucee.runtime.type.scope.UndefinedImpl.get(UndefinedImpl.java:179)
	at index_cfm$cf$q.call(/index.cfm:55)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:945)
	at lucee.runtime.PageContextImpl._doInclude(PageContextImpl.java:837)
	at lucee.runtime.listener.ModernAppListener._onRequest(ModernAppListener.java:216)
	at lucee.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:42)
	at lucee.runtime.PageContextImpl.execute(PageContextImpl.java:2416)
	at lucee.runtime.PageContextImpl._execute(PageContextImpl.java:2406)
	at lucee.runtime.PageContextImpl.executeCFML(PageContextImpl.java:2381)
	at lucee.runtime.engine.Request.exe(Request.java:43)
	at lucee.runtime.engine.CFMLEngineImpl._service(CFMLEngineImpl.java:1127)
	at lucee.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:1073)
	at lucee.loader.engine.CFMLEngineWrapper.serviceCFML(CFMLEngineWrapper.java:97)
	at lucee.loader.servlet.CFMLServlet.service(CFMLServlet.java:51)
..."
